lessonId	lessonTitle	grade	semester	subject	cardId	cardTitle	cardKind	narrationSource	hasAudioAsset	expectedAssetPath	existingAssetPath	narrationText
g1-upper-chinese-pinyin	拼音启蒙	一年级	上册	语文	step-1	找朋友	step	custom	yes	frontend/src/assets/audio/study/g1-upper-chinese-pinyin/step-1.mp3	frontend/src/assets/audio/study/g1-upper-chinese-pinyin/step-1.mp3	第一步，找朋友。先认开头的小伙伴声母，看看是谁先站出来。
g1-upper-chinese-pinyin	拼音启蒙	一年级	上册	语文	step-2	接尾巴	step	custom	yes	frontend/src/assets/audio/study/g1-upper-chinese-pinyin/step-2.mp3	frontend/src/assets/audio/study/g1-upper-chinese-pinyin/step-2.mp3	第二步，接尾巴。再把韵母接上去，让声音慢慢变完整。
g1-upper-chinese-pinyin	拼音启蒙	一年级	上册	语文	step-3	坐滑梯	step	custom	yes	frontend/src/assets/audio/study/g1-upper-chinese-pinyin/step-3.mp3	frontend/src/assets/audio/study/g1-upper-chinese-pinyin/step-3.mp3	第三步，坐滑梯。最后加上声调，听听声音是平平的还是滑上滑下。
g1-upper-chinese-pinyin	拼音启蒙	一年级	上册	语文	example	张嘴试试	example	custom	yes	frontend/src/assets/audio/study/g1-upper-chinese-pinyin/example.mp3	frontend/src/assets/audio/study/g1-upper-chinese-pinyin/example.mp3	张嘴试试。把一个音节慢慢拼出来，再听听声调是在上去还是下来。小嘴巴会拼，小耳朵会听，拼音就慢慢亮起来了。
g1-upper-chinese-pinyin	拼音启蒙	一年级	上册	语文	memory	记忆小口令	memory	custom	yes	frontend/src/assets/audio/study/g1-upper-chinese-pinyin/memory.mp3	frontend/src/assets/audio/study/g1-upper-chinese-pinyin/memory.mp3	记住拼音小口令。先认声母，再找韵母，最后加声调。
g1-upper-chinese-reading	课文和语言积累	一年级	上册	语文	step-1	读顺句子	step	custom	yes	frontend/src/assets/audio/study/g1-upper-chinese-reading/step-1.mp3	frontend/src/assets/audio/study/g1-upper-chinese-reading/step-1.mp3	第一步，读顺句子。一句一句慢慢读，不漏字，也不把词拆散。
g1-upper-chinese-reading	课文和语言积累	一年级	上册	语文	step-2	找重点	step	custom	yes	frontend/src/assets/audio/study/g1-upper-chinese-reading/step-2.mp3	frontend/src/assets/audio/study/g1-upper-chinese-reading/step-2.mp3	第二步，找重点。看看是谁、在干什么，句号和问号也要注意。
g1-upper-chinese-reading	课文和语言积累	一年级	上册	语文	step-3	说一说	step	custom	yes	frontend/src/assets/audio/study/g1-upper-chinese-reading/step-3.mp3	frontend/src/assets/audio/study/g1-upper-chinese-reading/step-3.mp3	第三步，说一说。用自己的话讲讲这句话在说什么。
g1-upper-chinese-reading	课文和语言积累	一年级	上册	语文	example	读一读	example	custom	yes	frontend/src/assets/audio/study/g1-upper-chinese-reading/example.mp3	frontend/src/assets/audio/study/g1-upper-chinese-reading/example.mp3	读一读。读一句短句，找出里面的人或东西，再说它在做什么。把词语连起来，句子的意思就跳出来啦。
g1-upper-chinese-reading	课文和语言积累	一年级	上册	语文	memory	记忆小口令	memory	custom	yes	frontend/src/assets/audio/study/g1-upper-chinese-reading/memory.mp3	frontend/src/assets/audio/study/g1-upper-chinese-reading/memory.mp3	记住读文小口令。先读顺，再找重点，最后说意思。
g1-upper-math-number-sense	数一数和比一比	一年级	上册	数学	step-1	点着数	step	custom	yes	frontend/src/assets/audio/study/g1-upper-math-number-sense/step-1.mp3	frontend/src/assets/audio/study/g1-upper-math-number-sense/step-1.mp3	第一步，点着数。看见小图时，一个一个点着数，不跳着数。
g1-upper-math-number-sense	数一数和比一比	一年级	上册	数学	step-2	比一比	step	custom	yes	frontend/src/assets/audio/study/g1-upper-math-number-sense/step-2.mp3	frontend/src/assets/audio/study/g1-upper-math-number-sense/step-2.mp3	第二步，比一比。数完以后再看谁多、谁少、谁一样多。
g1-upper-math-number-sense	数一数和比一比	一年级	上册	数学	step-3	认位置	step	custom	yes	frontend/src/assets/audio/study/g1-upper-math-number-sense/step-3.mp3	frontend/src/assets/audio/study/g1-upper-math-number-sense/step-3.mp3	第三步，认位置。顺便说说第几个、前后左右，数字会更听话。
g1-upper-math-number-sense	数一数和比一比	一年级	上册	数学	example	数一数	example	custom	yes	frontend/src/assets/audio/study/g1-upper-math-number-sense/example.mp3	frontend/src/assets/audio/study/g1-upper-math-number-sense/example.mp3	数一数。看一排小图，边点边数，再说谁多谁少。手指不乱跳，数字就不会跑丢。
g1-upper-math-number-sense	数一数和比一比	一年级	上册	数学	memory	记忆小口令	memory	custom	yes	frontend/src/assets/audio/study/g1-upper-math-number-sense/memory.mp3	frontend/src/assets/audio/study/g1-upper-math-number-sense/memory.mp3	记住数数小口令。一个一个数，数完再比较。
g1-upper-math-place-value	10到20的数	一年级	上册	数学	step-1	看整盒	step	custom	yes	frontend/src/assets/audio/study/g1-upper-math-place-value/step-1.mp3	frontend/src/assets/audio/study/g1-upper-math-place-value/step-1.mp3	第一步，看整盒。先看这个数里有没有一个整整的十。
g1-upper-math-place-value	10到20的数	一年级	上册	数学	step-2	数豆豆	step	custom	yes	frontend/src/assets/audio/study/g1-upper-math-place-value/step-2.mp3	frontend/src/assets/audio/study/g1-upper-math-place-value/step-2.mp3	第二步，数豆豆。再看看旁边还剩几个一，就像盒子里剩下的小豆豆。
g1-upper-math-place-value	10到20的数	一年级	上册	数学	step-3	拆开说	step	custom	yes	frontend/src/assets/audio/study/g1-upper-math-place-value/step-3.mp3	frontend/src/assets/audio/study/g1-upper-math-place-value/step-3.mp3	第三步，拆开说。把十几拆成几个十和几个一，数字就不打架了。
g1-upper-math-place-value	10到20的数	一年级	上册	数学	example	拆一拆	example	custom	yes	frontend/src/assets/audio/study/g1-upper-math-place-value/example.mp3	frontend/src/assets/audio/study/g1-upper-math-place-value/example.mp3	拆一拆。看到一个十几的数，先说有几个十，再说有几个一。会拆开看，数字就不再挤成一团。
g1-upper-math-place-value	10到20的数	一年级	上册	数学	memory	记忆小口令	memory	custom	yes	frontend/src/assets/audio/study/g1-upper-math-place-value/memory.mp3	frontend/src/assets/audio/study/g1-upper-math-place-value/memory.mp3	记住数位小口令。先看十位，再看个位。
g1-upper-math-add-subtract	加减法第一关	一年级	上册	数学	step-1	先看题	step	custom	yes	frontend/src/assets/audio/study/g1-upper-math-add-subtract/step-1.mp3	frontend/src/assets/audio/study/g1-upper-math-add-subtract/step-1.mp3	第一步，先看题。先想一想，这题是在合起来，还是拿走一些。
g1-upper-math-add-subtract	加减法第一关	一年级	上册	数学	step-2	选符号	step	custom	yes	frontend/src/assets/audio/study/g1-upper-math-add-subtract/step-2.mp3	frontend/src/assets/audio/study/g1-upper-math-add-subtract/step-2.mp3	第二步，选符号。想明白以后，再选加号还是减号。
g1-upper-math-add-subtract	加减法第一关	一年级	上册	数学	step-3	慢慢算	step	custom	yes	frontend/src/assets/audio/study/g1-upper-math-add-subtract/step-3.mp3	frontend/src/assets/audio/study/g1-upper-math-add-subtract/step-3.mp3	第三步，慢慢算。数字不多时更要稳稳算，对了比快更重要。
g1-upper-math-add-subtract	加减法第一关	一年级	上册	数学	example	想一想	example	custom	yes	frontend/src/assets/audio/study/g1-upper-math-add-subtract/example.mp3	frontend/src/assets/audio/study/g1-upper-math-add-subtract/example.mp3	想一想。先说这题是在合起来，还是拿走一些，再动笔算。先说意思，再算结果，脑子会更清楚。
g1-upper-math-add-subtract	加减法第一关	一年级	上册	数学	memory	记忆小口令	memory	custom	yes	frontend/src/assets/audio/study/g1-upper-math-add-subtract/memory.mp3	frontend/src/assets/audio/study/g1-upper-math-add-subtract/memory.mp3	记住计算小口令。先看是加还是减，再慢慢算。
g1-upper-math-shape-time	位置图形和小规律	一年级	上册	数学	step-1	说位置	step	custom	yes	frontend/src/assets/audio/study/g1-upper-math-shape-time/step-1.mp3	frontend/src/assets/audio/study/g1-upper-math-shape-time/step-1.mp3	第一步，说位置。先看谁在前后左右，把方向说清楚。
g1-upper-math-shape-time	位置图形和小规律	一年级	上册	数学	step-2	认形状	step	custom	yes	frontend/src/assets/audio/study/g1-upper-math-shape-time/step-2.mp3	frontend/src/assets/audio/study/g1-upper-math-shape-time/step-2.mp3	第二步，认形状。再认认球、正方体这些图形朋友。
g1-upper-math-shape-time	位置图形和小规律	一年级	上册	数学	step-3	看钟面	step	custom	yes	frontend/src/assets/audio/study/g1-upper-math-shape-time/step-3.mp3	frontend/src/assets/audio/study/g1-upper-math-shape-time/step-3.mp3	第三步，看钟面。最后看看短针长针，猜猜现在大概几点。
g1-upper-math-shape-time	位置图形和小规律	一年级	上册	数学	example	找一找	example	custom	yes	frontend/src/assets/audio/study/g1-upper-math-shape-time/example.mp3	frontend/src/assets/audio/study/g1-upper-math-shape-time/example.mp3	找一找。看图先说位置，再认一个图形，最后看看钟面像几点。生活里的数学，都是这样一点一点冒出来的。
g1-upper-math-shape-time	位置图形和小规律	一年级	上册	数学	memory	记忆小口令	memory	custom	yes	frontend/src/assets/audio/study/g1-upper-math-shape-time/memory.mp3	frontend/src/assets/audio/study/g1-upper-math-shape-time/memory.mp3	记住生活数学口令。先看位置，再认图形，最后看时间。
g1-lower-chinese-phonetics	字音和查字继续学	一年级	下册	语文	step-1	放进词里	step	derived	yes	frontend/src/assets/audio/study/g1-lower-chinese-phonetics/step-1.mp3	frontend/src/assets/audio/study/g1-lower-chinese-phonetics/step-1.mp3	放进词里。遇到多音字，先把它放进词语里听一听。下册继续练耳朵和小眼睛，让字音更清楚。
g1-lower-chinese-phonetics	字音和查字继续学	一年级	下册	语文	step-2	想字母	step	derived	yes	frontend/src/assets/audio/study/g1-lower-chinese-phonetics/step-2.mp3	frontend/src/assets/audio/study/g1-lower-chinese-phonetics/step-2.mp3	想字母。查字前先想这个音节开头的小字母是谁。
g1-lower-chinese-phonetics	字音和查字继续学	一年级	下册	语文	step-3	慢慢找	step	derived	yes	frontend/src/assets/audio/study/g1-lower-chinese-phonetics/step-3.mp3	frontend/src/assets/audio/study/g1-lower-chinese-phonetics/step-3.mp3	慢慢找。翻字表时别着急，按顺序往下找。
g1-lower-chinese-phonetics	字音和查字继续学	一年级	下册	语文	example	听一听	example	derived	yes	frontend/src/assets/audio/study/g1-lower-chinese-phonetics/example.mp3	frontend/src/assets/audio/study/g1-lower-chinese-phonetics/example.mp3	听一听。先把字放进词语里读，再想它该排在拼音表的哪里。字音一清楚，查字就像找朋友一样快。
g1-lower-chinese-phonetics	字音和查字继续学	一年级	下册	语文	memory	记忆小口令	memory	derived	yes	frontend/src/assets/audio/study/g1-lower-chinese-phonetics/memory.mp3	frontend/src/assets/audio/study/g1-lower-chinese-phonetics/memory.mp3	记忆小口令。字音小口令: 先放词里读, 再按音序找。顺序是：放词里读 · 想首字母 · 按音序找。
g1-lower-chinese-literacy	偏旁识字和结构	一年级	下册	语文	step-1	找偏旁	step	derived	yes	frontend/src/assets/audio/study/g1-lower-chinese-literacy/step-1.mp3	frontend/src/assets/audio/study/g1-lower-chinese-literacy/step-1.mp3	找偏旁。先看看这个字戴着什么小帽子，或者站着什么偏旁。认字不用死记，偏旁和结构会来帮忙。
g1-lower-chinese-literacy	偏旁识字和结构	一年级	下册	语文	step-2	看结构	step	derived	yes	frontend/src/assets/audio/study/g1-lower-chinese-literacy/step-2.mp3	frontend/src/assets/audio/study/g1-lower-chinese-literacy/step-2.mp3	看结构。再看看它是左右站，还是上下叠。
g1-lower-chinese-literacy	偏旁识字和结构	一年级	下册	语文	step-3	猜意思	step	derived	yes	frontend/src/assets/audio/study/g1-lower-chinese-literacy/step-3.mp3	frontend/src/assets/audio/study/g1-lower-chinese-literacy/step-3.mp3	猜意思。把偏旁和样子连起来，试着猜猜它和什么有关。
g1-lower-chinese-literacy	偏旁识字和结构	一年级	下册	语文	example	猜一猜	example	derived	yes	frontend/src/assets/audio/study/g1-lower-chinese-literacy/example.mp3	frontend/src/assets/audio/study/g1-lower-chinese-literacy/example.mp3	猜一猜。看到一个新字，先找偏旁，再说它像哪一类。认字像找家族，找到家，就更好记了。
g1-lower-chinese-literacy	偏旁识字和结构	一年级	下册	语文	memory	记忆小口令	memory	derived	yes	frontend/src/assets/audio/study/g1-lower-chinese-literacy/memory.mp3	frontend/src/assets/audio/study/g1-lower-chinese-literacy/memory.mp3	记忆小口令。识字小口令: 先看偏旁, 再看结构, 最后连成意思。顺序是：看偏旁 · 看结构 · 连意思。
g1-lower-chinese-reading	课文阅读和传统文化	一年级	下册	语文	step-1	读进去	step	derived	yes	frontend/src/assets/audio/study/g1-lower-chinese-reading/step-1.mp3	frontend/src/assets/audio/study/g1-lower-chinese-reading/step-1.mp3	读进去。先把句子读顺，别急着往后赶。下册读书，要学会把画面和意思一起装进脑袋。
g1-lower-chinese-reading	课文阅读和传统文化	一年级	下册	语文	step-2	想画面	step	derived	yes	frontend/src/assets/audio/study/g1-lower-chinese-reading/step-2.mp3	frontend/src/assets/audio/study/g1-lower-chinese-reading/step-2.mp3	想画面。一边读一边想，脑袋里像不像出现了一幅小图画。
g1-lower-chinese-reading	课文阅读和传统文化	一年级	下册	语文	step-3	说出来	step	derived	yes	frontend/src/assets/audio/study/g1-lower-chinese-reading/step-3.mp3	frontend/src/assets/audio/study/g1-lower-chinese-reading/step-3.mp3	说出来。把你看到的画面和句子的意思说给自己听。
g1-lower-chinese-reading	课文阅读和传统文化	一年级	下册	语文	example	想画面	example	derived	yes	frontend/src/assets/audio/study/g1-lower-chinese-reading/example.mp3	frontend/src/assets/audio/study/g1-lower-chinese-reading/example.mp3	想画面。读一句诗或一句课文，说说你眼前像看到了什么。能说出画面，就说明你真的读进去啦。
g1-lower-chinese-reading	课文阅读和传统文化	一年级	下册	语文	memory	记忆小口令	memory	derived	yes	frontend/src/assets/audio/study/g1-lower-chinese-reading/memory.mp3	frontend/src/assets/audio/study/g1-lower-chinese-reading/memory.mp3	记忆小口令。阅读小口令: 先读句, 再想画面, 最后说意思。顺序是：读句子 · 想画面 · 说意思。
g1-lower-chinese-expression	词句表达小火车	一年级	下册	语文	step-1	选词语	step	derived	yes	frontend/src/assets/audio/study/g1-lower-chinese-expression/step-1.mp3	frontend/src/assets/audio/study/g1-lower-chinese-expression/step-1.mp3	选词语。先挑出最合适的词，不是看到哪个都往里塞。说话和写话像搭小火车，词语一节一节连起来。
g1-lower-chinese-expression	词句表达小火车	一年级	下册	语文	step-2	排排队	step	derived	yes	frontend/src/assets/audio/study/g1-lower-chinese-expression/step-2.mp3	frontend/src/assets/audio/study/g1-lower-chinese-expression/step-2.mp3	排排队。想想谁应该站前面，谁应该站后面。
g1-lower-chinese-expression	词句表达小火车	一年级	下册	语文	step-3	点一下	step	derived	yes	frontend/src/assets/audio/study/g1-lower-chinese-expression/step-3.mp3	frontend/src/assets/audio/study/g1-lower-chinese-expression/step-3.mp3	点一下。句子说完了，别忘了请句号和问号来帮忙。
g1-lower-chinese-expression	词句表达小火车	一年级	下册	语文	example	连起来	example	derived	yes	frontend/src/assets/audio/study/g1-lower-chinese-expression/example.mp3	frontend/src/assets/audio/study/g1-lower-chinese-expression/example.mp3	连起来。给几个词，先找谁在前，谁在后，再把它们排成一句话。词语站好队，句子就会顺顺地往前走。
g1-lower-chinese-expression	词句表达小火车	一年级	下册	语文	memory	记忆小口令	memory	derived	yes	frontend/src/assets/audio/study/g1-lower-chinese-expression/memory.mp3	frontend/src/assets/audio/study/g1-lower-chinese-expression/memory.mp3	记忆小口令。表达小口令: 先选词, 再排队, 最后点标点。顺序是：选词 · 排队 · 点标点。
g1-lower-math-subtract	退位减法先过关	一年级	下册	数学	step-1	看个位	step	derived	yes	frontend/src/assets/audio/study/g1-lower-math-subtract/step-1.mp3	frontend/src/assets/audio/study/g1-lower-math-subtract/step-1.mp3	看个位。先看看个位够不够减，不够就先别硬算。退位减法像借小积木，先借一根十，再慢慢减。
g1-lower-math-subtract	退位减法先过关	一年级	下册	数学	step-2	借一个十	step	derived	yes	frontend/src/assets/audio/study/g1-lower-math-subtract/step-2.mp3	frontend/src/assets/audio/study/g1-lower-math-subtract/step-2.mp3	借一个十。请十位借出 1 个十，变成 10 个一来帮忙。
g1-lower-math-subtract	退位减法先过关	一年级	下册	数学	step-3	再减掉	step	derived	yes	frontend/src/assets/audio/study/g1-lower-math-subtract/step-3.mp3	frontend/src/assets/audio/study/g1-lower-math-subtract/step-3.mp3	再减掉。借完以后再减，别忘了十位已经少了 1。
g1-lower-math-subtract	退位减法先过关	一年级	下册	数学	example	借一借	example	derived	yes	frontend/src/assets/audio/study/g1-lower-math-subtract/example.mp3	frontend/src/assets/audio/study/g1-lower-math-subtract/example.mp3	借一借。看到个位不够减，先说“我要去十位借1个十”。先把借的动作想明白，笔算和口算都会更稳。
g1-lower-math-subtract	退位减法先过关	一年级	下册	数学	memory	记忆小口令	memory	derived	yes	frontend/src/assets/audio/study/g1-lower-math-subtract/memory.mp3	frontend/src/assets/audio/study/g1-lower-math-subtract/memory.mp3	记忆小口令。退位小口令: 个位不够, 找十位借。顺序是：看个位 · 去借十 · 再来减。
g1-lower-math-number-100	百以内的数	一年级	下册	数学	step-1	看几十	step	derived	yes	frontend/src/assets/audio/study/g1-lower-math-number-100/step-1.mp3	frontend/src/assets/audio/study/g1-lower-math-number-100/step-1.mp3	看几十。看到一个数，先盯前面的几十。百以内的数像更长的数字队伍，我们要会找位置。
g1-lower-math-number-100	百以内的数	一年级	下册	数学	step-2	看几个	step	derived	yes	frontend/src/assets/audio/study/g1-lower-math-number-100/step-2.mp3	frontend/src/assets/audio/study/g1-lower-math-number-100/step-2.mp3	看几个。再看后面剩下几个一，别把位置弄混。
g1-lower-math-number-100	百以内的数	一年级	下册	数学	step-3	比大小	step	derived	yes	frontend/src/assets/audio/study/g1-lower-math-number-100/step-3.mp3	frontend/src/assets/audio/study/g1-lower-math-number-100/step-3.mp3	比大小。先比几十，再比几个，大小就清楚了。
g1-lower-math-number-100	百以内的数	一年级	下册	数学	example	找位置	example	derived	yes	frontend/src/assets/audio/study/g1-lower-math-number-100/example.mp3	frontend/src/assets/audio/study/g1-lower-math-number-100/example.mp3	找位置。看到一个数，先说它有几个十几个一，再比比谁大谁小。会看位置，数字就像站在格子里一样清楚。
g1-lower-math-number-100	百以内的数	一年级	下册	数学	memory	记忆小口令	memory	derived	yes	frontend/src/assets/audio/study/g1-lower-math-number-100/memory.mp3	frontend/src/assets/audio/study/g1-lower-math-number-100/memory.mp3	记忆小口令。百数小口令: 先看几十, 再看几个。顺序是：看几十 · 看几个 · 再比较。
g1-lower-math-life	图形分类和人民币	一年级	下册	数学	step-1	认认形	step	derived	yes	frontend/src/assets/audio/study/g1-lower-math-life/step-1.mp3	frontend/src/assets/audio/study/g1-lower-math-life/step-1.mp3	认认形。先看看这个图形有几条边、像不像我们认识的朋友。这一站把数学带进商店和图形盒里。
g1-lower-math-life	图形分类和人民币	一年级	下册	数学	step-2	分分类	step	derived	yes	frontend/src/assets/audio/study/g1-lower-math-life/step-2.mp3	frontend/src/assets/audio/study/g1-lower-math-life/step-2.mp3	分分类。找到一样的放一起，先想好按什么分。
g1-lower-math-life	图形分类和人民币	一年级	下册	数学	step-3	认钱币	step	derived	yes	frontend/src/assets/audio/study/g1-lower-math-life/step-3.mp3	frontend/src/assets/audio/study/g1-lower-math-life/step-3.mp3	认钱币。最后认清元、角、分，买东西时才不迷糊。
g1-lower-math-life	图形分类和人民币	一年级	下册	数学	example	生活小题	example	derived	yes	frontend/src/assets/audio/study/g1-lower-math-life/example.mp3	frontend/src/assets/audio/study/g1-lower-math-life/example.mp3	生活小题。先认一个图形，再分一分类，最后看看几角几分能不能凑出来。数学一进生活，就会变得特别好用。
g1-lower-math-life	图形分类和人民币	一年级	下册	数学	memory	记忆小口令	memory	derived	yes	frontend/src/assets/audio/study/g1-lower-math-life/memory.mp3	frontend/src/assets/audio/study/g1-lower-math-life/memory.mp3	记忆小口令。生活数学口令: 先认形, 再分类, 最后认钱。顺序是：认图形 · 做分类 · 认钱币。
g1-lower-math-calc	百以内计算和应用	一年级	下册	数学	step-1	读题目	step	derived	yes	frontend/src/assets/audio/study/g1-lower-math-calc/step-1.mp3	frontend/src/assets/audio/study/g1-lower-math-calc/step-1.mp3	读题目。先把题目读完整，别看到数字就冲。最后这一站，要把算数本领和读题本领拉到一起。
g1-lower-math-calc	百以内计算和应用	一年级	下册	数学	step-2	找条件	step	derived	yes	frontend/src/assets/audio/study/g1-lower-math-calc/step-2.mp3	frontend/src/assets/audio/study/g1-lower-math-calc/step-2.mp3	找条件。圈一圈已经知道什么，还要找什么。
g1-lower-math-calc	百以内计算和应用	一年级	下册	数学	step-3	列算式	step	derived	yes	frontend/src/assets/audio/study/g1-lower-math-calc/step-3.mp3	frontend/src/assets/audio/study/g1-lower-math-calc/step-3.mp3	列算式。想明白以后再写算式，答案会更稳。
g1-lower-math-calc	百以内计算和应用	一年级	下册	数学	example	小挑战	example	derived	yes	frontend/src/assets/audio/study/g1-lower-math-calc/example.mp3	frontend/src/assets/audio/study/g1-lower-math-calc/example.mp3	小挑战。读完题先别急着算，先说“我知道了什么，还要找什么”。条件说清楚了，答案就更容易走出来。
g1-lower-math-calc	百以内计算和应用	一年级	下册	数学	memory	记忆小口令	memory	derived	yes	frontend/src/assets/audio/study/g1-lower-math-calc/memory.mp3	frontend/src/assets/audio/study/g1-lower-math-calc/memory.mp3	记忆小口令。应用题小口令: 先读题, 再找条件, 最后列式。顺序是：读题 · 找条件 · 列式。
g2-upper-chinese-words	词语积累和词语朋友	二年级	上册	语文	step-1	先看意思	step	custom	yes	frontend/src/assets/audio/study/g2-upper-chinese-words/step-1.mp3	frontend/src/assets/audio/study/g2-upper-chinese-words/step-1.mp3	第一步，先看整个词在说什么。别只盯一个字，要把整个词一起想。
g2-upper-chinese-words	词语积累和词语朋友	二年级	上册	语文	step-2	找朋友	step	custom	yes	frontend/src/assets/audio/study/g2-upper-chinese-words/step-2.mp3	frontend/src/assets/audio/study/g2-upper-chinese-words/step-2.mp3	第二步，找词语朋友。看看谁和它意思更像，谁和它正好相反。
g2-upper-chinese-words	词语积累和词语朋友	二年级	上册	语文	step-3	分分类	step	custom	yes	frontend/src/assets/audio/study/g2-upper-chinese-words/step-3.mp3	frontend/src/assets/audio/study/g2-upper-chinese-words/step-3.mp3	第三步，帮词语分家。能放在一起的站一队，词语柜子就整齐了。
g2-upper-chinese-words	词语积累和词语朋友	二年级	上册	语文	example	分一分	example	custom	yes	frontend/src/assets/audio/study/g2-upper-chinese-words/example.mp3	frontend/src/assets/audio/study/g2-upper-chinese-words/example.mp3	跟我分一分。看到几个词，先想它们是不是同一类，再找意思相近和相反的词。
g2-upper-chinese-words	词语积累和词语朋友	二年级	上册	语文	memory	记忆小口令	memory	custom	yes	frontend/src/assets/audio/study/g2-upper-chinese-words/memory.mp3	frontend/src/assets/audio/study/g2-upper-chinese-words/memory.mp3	记住词语小口令。先看意思，再找朋友，最后分分类。
g2-upper-chinese-sentences	标点和句子小火车	二年级	上册	语文	step-1	排排队	step	derived	yes	frontend/src/assets/audio/study/g2-upper-chinese-sentences/step-1.mp3	frontend/src/assets/audio/study/g2-upper-chinese-sentences/step-1.mp3	排排队。先找出句子里的主角和动作，看看谁应该先站出来。一句话要像小火车一样，一节一节连好，还要在对的地方停下来。
g2-upper-chinese-sentences	标点和句子小火车	二年级	上册	语文	step-2	读一读	step	derived	yes	frontend/src/assets/audio/study/g2-upper-chinese-sentences/step-2.mp3	frontend/src/assets/audio/study/g2-upper-chinese-sentences/step-2.mp3	读一读。把排好的句子读一遍，听听顺不顺。
g2-upper-chinese-sentences	标点和句子小火车	二年级	上册	语文	step-3	点一下	step	derived	yes	frontend/src/assets/audio/study/g2-upper-chinese-sentences/step-3.mp3	frontend/src/assets/audio/study/g2-upper-chinese-sentences/step-3.mp3	点一下。说完了就请句号、问号来帮忙停一停。
g2-upper-chinese-sentences	标点和句子小火车	二年级	上册	语文	example	连起来	example	derived	yes	frontend/src/assets/audio/study/g2-upper-chinese-sentences/example.mp3	frontend/src/assets/audio/study/g2-upper-chinese-sentences/example.mp3	连起来。看到乱乱的句子时，先找谁在前，再看句子最后该放什么标点。句子站好队，意思就不会乱跑。
g2-upper-chinese-sentences	标点和句子小火车	二年级	上册	语文	memory	记忆小口令	memory	derived	yes	frontend/src/assets/audio/study/g2-upper-chinese-sentences/memory.mp3	frontend/src/assets/audio/study/g2-upper-chinese-sentences/memory.mp3	记忆小口令。句子小口令: 先排队, 再读顺, 最后点标点。顺序是：先排队 · 再读顺 · 点标点。
