学科,年级,学期,知识标签,题型,题目,题目图片,选项A,选项B,选项C,选项D,答案,解析,难度
语文,五年级,通用,,写作方法,写景时想让画面更生动，哪种方法更合适？,,每句都只写“很好看”,全文只写数字,完全不写感受,加入颜色和声音等描写,D,具体的颜色、声音、气味等描写能让画面更鲜活。,2
语文,六年级,通用,,名句理解,“学而不思则罔，思而不学则殆”告诉我们什么？,,学习和思考要结合,只要思考不用学习,只背书就够了,学习越少越好,A,光学不想、光想不学都不行，学习和思考要结合。,3
语文,六年级,通用,,表达交流,辩论时更重要的做法是什么？,,一直打断别人,有依据地表达观点,声音越大越赢,只重复一句话,B,辩论靠理由和证据，不靠抢话。,2
语文,六年级,通用,,演讲写作,写演讲稿时，开头最重要的作用是什么？,,把结尾全部说完,列出所有答案,吸引听众,不让人听懂,C,好的开头要先吸引听众继续听下去。,3
语文,六年级,通用,,成语理解,“坚持不懈”最适合形容哪种人？,,三分钟热度的人,什么都不想做的人,常忘记作业的人,遇到困难也不放弃的人,D,“坚持不懈”强调一直坚持、不轻易放弃。,2
语文,三年级,通用,,词语感情色彩,下面哪组词语的感情色彩更积极？,,勤劳、友善,懒惰、粗心,吵闹、生气,发呆、迷路,A,“勤劳、友善”都是褒义词，感情色彩更积极。,2
语文,四年级,通用,,修辞理解,“书是人类进步的阶梯”这句话把书比作什么？,,花朵,阶梯,河流,星星,B,句子里明确把书比作“阶梯”。,2
语文,二年级,通用,,关联词,“我爱读书，因为它让我学到很多知识。” 这句话中“因为”后面说明的是？,,结果,时间,原因,地点,C,“因为”后面一般说明原因。,1
语文,五年级,通用,,阅读概括,概括文章主要内容时，最关键的是抓住什么？,,主要人物和主要事件,每个标点符号,字写得多大,纸张颜色,A,概括主要内容要抓住人物、事件和核心意思。,3
语文,二年级,通用,,词语分类,下面哪个词语表示颜色？,,奔跑,桌子,清晨,碧绿,D,“碧绿”表示颜色，常形容草地或树叶。,1
语文,二年级,通用,,词语运用,“认真地听课”中表示“怎么样”的是哪部分？,,认真地,听课,课,地,A,“认真地”说明听课时的样子和状态。,1
语文,二年级,通用,,词语形式,下面哪个词语是 AABB 式？,,雪白,高高兴兴,明天,安静,B,“高高兴兴”属于 AABB 式词语。,1
语文,二年级,通用,,阅读理解,“小鱼在水里游来游去。” 这句话里谁在游？,,水,小鸟,小鱼,老师,C,句子写的是小鱼在水里游。,1
语文,二年级,通用,,标点符号,表示一句话中间稍微停顿，常用哪个标点？,,句号,问号,书名号,逗号,D,句子中间短暂停顿时，常用逗号。,1
语文,三年级,通用,,古诗积累,“远上寒山石径斜”的下一句是什么？,,白云生处有人家,停车坐爱枫林晚,霜叶红于二月花,低头思故乡,A,这两句都出自《山行》，“远上寒山石径斜，白云生处有人家”。,2
语文,三年级,通用,,古诗积累,“停车坐爱枫林晚”的下一句是什么？,,白云生处有人家,霜叶红于二月花,夜来风雨声,举头望明月,B,《山行》中写道：“停车坐爱枫林晚，霜叶红于二月花”。,2
语文,三年级,通用,,成语理解,“津津有味”最适合形容什么？,,跑步很快,天气很热,读书看得很入迷,衣服很新,C,“津津有味”常形容看书、听故事时很有兴趣。,2
语文,三年级,通用,,近义词,“忽然”的近义词是哪一个？,,经常,缓慢,终于,突然,D,“忽然”和“突然”意思相近。,1
语文,四年级,通用,,寓言理解,“守株待兔”告诉我们什么？,,不能只靠运气等结果,只要站着不动就行,兔子天天都会来,种树一定能抓兔子,A,这个故事告诉我们不能不努力，只想靠运气。,3
语文,四年级,通用,,成语理解,“画龙点睛”比喻什么？,,把画画得很慢,在关键处点得精彩,只会画龙,写字特别大,B,“画龙点睛”常比喻在关键地方加一句或一笔，使内容更精彩。,2
语文,四年级,通用,,修辞判断,下面哪句是拟人句？,,我今天去公园,树上有三只鸟,小溪唱着歌向前跑,天空很蓝,C,把小溪写得像人一样会“唱歌”，这是拟人。,2
语文,四年级,通用,,关联词,“虽然今天很冷，但是大家还是按时到了。” 前后分句关系是什么？,,并列,因果,选择,转折,D,“虽然……但是……”表示转折关系。,2
语文,四年级,通用,,反义词,“宽阔”的反义词是哪一个？,,狭窄,整齐,安静,弯曲,A,“宽阔”和“狭窄”意思相反。,2
语文,四年级,通用,,阅读方法,“浏览”一本书时，更接近哪种读法？,,逐字逐句背下来,大致翻看重点内容,只看封面,一页也不看,B,浏览是快速、大致地看，先抓重点。,2
语文,五年级,通用,,名句理解,“己所不欲，勿施于人”更接近什么意思？,,要把喜欢的都送人,别人不做我也不做,自己不愿意的不要强加给别人,只听自己的想法,C,这句话强调要替别人着想。,3
语文,五年级,通用,,文学常识,“完璧归赵”这个故事与谁有关？,,李白,曹操,郑和,蔺相如,D,“完璧归赵”讲的是蔺相如机智地把和氏璧完整带回赵国。,2
语文,五年级,通用,,成语理解,“负荆请罪”主要表现了什么？,,勇于认错,害怕上学,喜欢旅游,打扮奇怪,A,廉颇背着荆条去认错，体现了知错能改。,2
语文,五年级,通用,,写作方法,写读后感时，最重要的是什么？,,把原文全部抄一遍,写出真实的感受,只写题目不写内容,专门写错别字,B,读后感最重要的是写出自己的理解和感受。,3
语文,五年级,通用,,结构判断,“总分总”结构通常是怎样安排内容的？,,先写结果，再写题目,只写一个自然段,先总说，再分说，最后总结,想到哪写到哪,C,“总分总”是常见的文章结构。,2
语文,五年级,通用,,成语理解,“栩栩如生”最适合形容什么？,,声音很轻很小,动作特别慢,天气非常炎热,形象非常逼真,D,“栩栩如生”常形容画面、雕像等像活的一样。,2
语文,六年级,通用,,成语理解,“醉翁之意不在酒”更强调什么？,,真正目的不在表面上,只想喝到好酒,一点想法都没有,只喜欢看风景,A,这句话常用来表示真正的目的不在字面所说的事情上。,3
语文,六年级,通用,,文学常识,《史记》的作者是谁？,,班固,司马迁,杜甫,王安石,B,《史记》是司马迁写的重要史书。,2
语文,六年级,通用,,修辞作用,排比句最常见的作用是什么？,,让句子变得更短,把人物名字隐藏起来,增强语势和节奏,只用在说明文里,C,排比能让语言更有力量，更有节奏感。,3
语文,六年级,通用,,写作方法,“围绕中心意思写”要求文章怎样？,,每段都换一个主题,想到什么就写什么,只写题目不写内容,内容都紧扣主题,D,围绕中心意思写，就是所有内容都服务同一个主题。,3
语文,六年级,通用,,文化故事,“高山流水”后来常用来比喻什么？,,知音难得,山特别高,水流特别急,走路特别慢,A,伯牙和子期的故事后来常用“高山流水”比喻知音。,3
语文,六年级,通用,,成语理解,“顾名思义”最接近什么意思？,,看到人名就去找他,看到名称就想到含义,只看图片不看文字,不知道名字也能明白,B,“顾名思义”就是从名称去理解意思。,2
数学,二年级,通用,,连加计算,4 + 5 + 3 = ?,,12,10,11,13,A,先算 4 + 5 = 9，再算 9 + 3 = 12。,1
数学,二年级,通用,,口算减法,18 - 9 = ?,,8,9,10,11,B,18 减去 9，正好还剩 9。,1
数学,二年级,通用,,平均分,6 个气球，每人分 2 个，可以分给几人？,,2人,4人,3人,6人,C,6 ÷ 2 = 3，所以可以分给 3 人。,1
数学,二年级,通用,,情景计算,2 盒彩笔，每盒 8 支，一共有几支？,,10支,14支,18支,16支,D,2 盒每盒 8 支，就是 2 × 8 = 16 支。,1
数学,三年级,通用,,乘法口算,3 × 4 = ?,,12,7,10,16,A,3 个 4 相加是 12。,1
数学,三年级,通用,,除法口算,24 ÷ 6 = ?,,3,4,5,6,B,24 平均分成 6 份，每份是 4。,1
数学,三年级,通用,,乘法口算,5 × 7 = ?,,30,40,35,42,C,5 个 7 是 35。,1
数学,三年级,通用,,除法口算,32 ÷ 8 = ?,,3,5,8,4,D,32 里面有 4 个 8，所以结果是 4。,1
数学,三年级,通用,,情景计算,操场上有 18 名同学，排成每行 6 人，可以排几行？,,3行,2行,4行,6行,A,18 ÷ 6 = 3，可以排 3 行。,1
数学,三年级,通用,,情景计算,小卖部有 20 支铅笔，卖出 7 支，又进货 5 支，现在有几支？,,17支,18支,16支,19支,B,先算 20 - 7 = 13，再算 13 + 5 = 18。,1
数学,四年级,通用,,两位数加法,45 + 28 = ?,,63,71,73,83,C,45 加 28 等于 73。,2
数学,四年级,通用,,两位数减法,90 - 37 = ?,,43,57,63,53,D,90 减 37，结果是 53。,2
数学,四年级,通用,,乘法口算,8 × 9 = ?,,72,64,70,81,A,8 个 9 是 72。,2
数学,四年级,通用,,除法口算,56 ÷ 7 = ?,,6,8,7,9,B,56 里面有 8 个 7，所以结果是 8。,2
数学,四年级,通用,,情景计算,一本故事书 36 页，小明已经看了 19 页，还剩几页？,,15页,16页,17页,18页,C,36 - 19 = 17，还剩 17 页。,2
数学,四年级,通用,,平均分,3 盒彩泥，每盒 12 块，平均分给 6 个小朋友，每人几块？,,4块,5块,7块,6块,D,一共有 3 × 12 = 36 块，再算 36 ÷ 6 = 6 块。,2
数学,五年级,通用,,三位数加法,125 + 75 = ?,,200,190,205,225,A,125 加 75 正好是 200。,2
数学,五年级,通用,,三位数减法,300 - 128 = ?,,162,172,182,178,B,300 减去 128，结果是 172。,2
数学,五年级,通用,,乘法口算,25 × 4 = ?,,90,95,100,110,C,4 个 25 相加是 100。,2
数学,五年级,通用,,除法口算,84 ÷ 12 = ?,,6,8,9,7,D,84 里面有 7 个 12，所以结果是 7。,2
数学,五年级,通用,,图形周长,一个正方形每条边长 5 厘米，它的周长是多少？,,20厘米,10厘米,15厘米,25厘米,A,正方形有 4 条相等的边，所以周长是 4 × 5 = 20 厘米。,2
数学,五年级,通用,,长度计算,一根绳子长 48 米，剪成每段 6 米的小段，可以剪几段？,,6段,8段,7段,9段,B,48 ÷ 6 = 8，所以可以剪成 8 段。,2
数学,六年级,通用,,小数加法,1.5 元 + 2.5 元 = ?,,3元,3.5元,4元,4.5元,C,1.5 加 2.5 等于 4。,2
数学,六年级,通用,,小数减法,6.4 - 2.1 = ?,,4.1,4.5,5.3,4.3,D,按小数位对齐计算，6.4 - 2.1 = 4.3。,2
数学,六年级,通用,,速度问题,一辆车 2 小时行 120 千米，平均每小时行多少千米？,,60千米,50千米,70千米,80千米,A,120 ÷ 2 = 60，平均每小时行 60 千米。,3
数学,六年级,通用,,折扣问题,一本书原价 80 元，打九折后是多少元？,,70元,72元,74元,78元,B,九折就是原价的 90%，80 × 0.9 = 72。,3
数学,六年级,通用,,长方形面积,一个长方形长 8 厘米，宽 5 厘米，面积是多少平方厘米？,,13平方厘米,26平方厘米,40平方厘米,80平方厘米,C,长方形面积 = 长 × 宽，所以 8 × 5 = 40 平方厘米。,3
数学,三年级,通用,,数字规律,"从 2, 4, 6, 8 往后接着写，下一个数是多少？",,9,11,12,10,D,这些数每次都加 2，所以下一个是 10。,1
数学,二年级,通用,,时间计算,时钟从 3 点走到 6 点，经过了几小时？,,3小时,2小时,4小时,6小时,A,3 点到 6 点一共经过 3 个整点，所以是 3 小时。,1
数学,四年级,通用,,单价计算,12 元钱买 3 支同样的笔，每支笔多少钱？,,3元,4元,5元,6元,B,12 ÷ 3 = 4，每支笔 4 元。,2
数学,二年级,通用,,口算减法,23 - 5 = ?,,16,17,18,19,C,23 减 5 等于 18。,1
数学,二年级,通用,,口算加法,9 + 8 = ?,,15,16,18,17,D,9 加 8 等于 17。,1
数学,二年级,通用,,情景计算,4 盒彩笔，每盒 5 支，一共有几支？,,20支,15支,18支,24支,A,4 × 5 = 20，一共有 20 支。,1
数学,二年级,通用,,平均分,18 个橘子，每袋装 6 个，可以装几袋？,,2袋,3袋,4袋,6袋,B,18 ÷ 6 = 3，所以可以装 3 袋。,1
数学,二年级,通用,,时间计算,从 7:30 到 8:00，一共过了多久？,,20分钟,40分钟,30分钟,60分钟,C,7:30 到 8:00 刚好半小时，就是 30 分钟。,2
数学,二年级,通用,,大小比较,36 比 29 多几？,,5,6,8,7,D,36 - 29 = 7。,1
数学,三年级,通用,,乘法口算,6 × 8 = ?,,48,42,46,54,A,6 个 8 是 48。,1
数学,三年级,通用,,除法口算,42 ÷ 7 = ?,,5,6,7,8,B,42 平均分成 7 份，每份是 6。,1
数学,三年级,通用,,乘法口算,7 × 9 = ?,,56,62,63,72,C,7 个 9 相加就是 63。,1
数学,三年级,通用,,除法口算,54 ÷ 9 = ?,,5,7,9,6,D,54 里面有 6 个 9。,1
数学,三年级,通用,,长方形周长,一个长方形长 7 厘米，宽 3 厘米，它的周长是多少厘米？,,20厘米,10厘米,17厘米,21厘米,A,长方形周长是 (7 + 3) × 2 = 20 厘米。,2
数学,四年级,通用,,三位数加法,126 + 78 = ?,,194,204,214,224,B,126 加 78 等于 204。,2
数学,四年级,通用,,三位数减法,400 - 156 = ?,,234,246,244,254,C,400 减去 156，结果是 244。,2
数学,四年级,通用,,乘法计算,24 × 3 = ?,,62,68,84,72,D,24 的 3 倍是 72。,2
数学,四年级,通用,,除法计算,96 ÷ 8 = ?,,12,10,11,13,A,96 平均分成 8 份，每份是 12。,2
数学,四年级,通用,,情景计算,5 盒彩纸，每盒 18 张，用掉 12 张后，还剩多少张？,,68张,78张,72张,88张,B,先算总数 5 × 18 = 90，再算 90 - 12 = 78。,2
数学,五年级,通用,,除法计算,120 ÷ 15 = ?,,6,7,8,9,C,120 里面有 8 个 15。,2
数学,五年级,通用,,正方形周长,一个正方形边长 12 厘米，它的周长是多少厘米？,,24厘米,36厘米,60厘米,48厘米,D,正方形周长 = 4 × 边长，所以是 48 厘米。,2
数学,五年级,通用,,长方形面积,一个长方形长 9 厘米，宽 6 厘米，面积是多少平方厘米？,,54平方厘米,15平方厘米,30平方厘米,60平方厘米,A,长方形面积 = 长 × 宽，所以 9 × 6 = 54。,2
数学,五年级,通用,,平均数,三次测试成绩分别是 88、92、90，平均分是多少？,,88分,90分,89分,91分,B,先把三次成绩相加得 270，再算 270 ÷ 3 = 90。,3
数学,五年级,通用,,小数加法,2.4 + 1.6 = ?,,3.8,4.2,4,4.4,C,按小数加法计算，2.4 + 1.6 = 4。,2
数学,六年级,通用,,百分数,40 的 75% 是多少？,,20,25,35,30,D,75% 就是 0.75，40 × 0.75 = 30。,3
数学,六年级,通用,,分数加法,1/2 + 1/4 = ?,,3/4,2/4,1/6,5/4,A,把 1/2 化成 2/4，再算 2/4 + 1/4 = 3/4。,3
数学,六年级,通用,,分数应用,20 的 3/5 是多少？,,8,12,10,15,B,20 × 3/5 = 12。,3
数学,六年级,通用,,速度问题,一辆车 3 小时行 180 千米，平均每小时行多少千米？,,50千米,70千米,60千米,90千米,C,180 ÷ 3 = 60，平均每小时行 60 千米。,3
数学,六年级,通用,,百分数应用,一件商品原价 50 元，上涨 10% 后是多少元？,,52元,54元,60元,55元,D,上涨 10% 就是增加 5 元，所以现价是 55 元。,2
数学,六年级,通用,,和差问题,甲乙两数的和是 84，乙比甲多 12，乙是多少？,,48,36,42,54,A,如果把 12 平均分掉，先算 (84 + 12) ÷ 2 = 48，得到较大的乙数。,3
英语,二年级,通用,,礼貌用语,“谢谢”常说哪一句？,,Thank you.,Stand up.,Open the door.,See you.,A,Thank you. 表示“谢谢”。,1
英语,二年级,通用,,礼貌用语,“再见”最常用哪一句？,,Hello.,Goodbye.,Please.,Sorry.,B,Goodbye. 表示“再见”。,1
英语,二年级,通用,,单词认读,“书”的英文是哪一个？,,ruler,milk,book,shoe,C,book 表示书。,1
英语,二年级,通用,,单词认读,Which word means “狗”？,,fish,tree,sun,dog,D,dog 的中文意思是“狗”。,1
英语,二年级,通用,,课堂指令,老师说“Sit down.” 是什么意思？,,坐下,起立,关门,排队,A,Sit down. 的意思是“坐下”。,1
英语,三年级,通用,,数字单词,“三支铅笔”里表示“三”的单词是哪一个？,,tree,three,thirty,free,B,three 表示数字 3。,1
英语,三年级,通用,,词义判断,Which word is a color?,,jump,school,yellow,sister,C,yellow 是颜色单词，表示黄色。,1
英语,三年级,通用,,句意理解,“I am happy.” 中 happy 最接近什么意思？,,口渴的,困倦的,安静的,开心的,D,happy 表示开心的、高兴的。,1
英语,三年级,通用,,代词认读,表示“我们”的英文是哪一个？,,we,me,she,it,A,we 表示“我们”。,1
英语,三年级,通用,,句子理解,“This is my bag.” 中 my 表示什么？,,你的,我的,他的,她的,B,my 是物主代词，表示“我的”。,1
英语,三年级,通用,,情景对话,问别人名字时，更合适的是哪一句？,,How old is the bag?,Where is blue?,What's your name?,Are you a desk?,C,What's your name? 的意思是“你叫什么名字？”。,1
英语,四年级,通用,,句子选择,Which sentence means “我喜欢英语”？,,I have three cats.,She is my teacher.,Open your book.,I like English.,D,I like English. 正好表示“我喜欢英语”。,1
英语,四年级,通用,,代词认读,“他”的英文代词是哪一个？,,he,she,we,they,A,he 表示“他”。,1
英语,四年级,通用,,指示代词,“这些苹果”中的 these 表示什么？,,那些,这些,一个,这里,B,these 表示“这些”。,2
英语,四年级,通用,,单词认读,Which word means “星期五”？,,February,winter,Friday,homework,C,Friday 表示星期五。,2
英语,四年级,通用,,句意理解,“Let’s play.” 中 Let’s 最接近什么意思？,,他已经,我不能,你不会,让我们,D,Let’s = Let us，表示“让我们……”。,2
英语,五年级,通用,,反义词,Which word is the opposite of 'big'?,,small,tall,long,clean,A,big 的反义词是 small。,2
英语,五年级,通用,,现在进行时,“我正在读书。” 更合适的英文是哪一句？,,I read yesterday.,I am reading.,Read I am.,I reading am.,B,现在正在进行的动作常用“be + 动词-ing”，所以是 I am reading.,3
英语,五年级,通用,,情态动词,“她会游泳”用英文可以说？,,She can swims.,She swim can.,She can swim.,Can she swimming.,C,can 后面接动词原形，所以用 She can swim.,3
英语,五年级,通用,,句型判断,Which one is a question?,,I am at home.,He likes music.,We have class.,Where are you?,D,Where are you? 是疑问句，末尾用问号。,3
英语,五年级,通用,,时间短语,“每天”最接近哪个短语？,,every day,last night,next week,at the zoo,A,every day 表示“每天”。,2
英语,六年级,通用,,时态判断,Which sentence is in the past tense?,,We visit the museum now.,We visited the museum yesterday.,We are visit the museum.,We can visits the museum.,B,visited 是动词过去式，这句话表示过去发生的事。,3
英语,六年级,通用,,条件句,“如果明天下雨，我们就在家看书。” 哪句更合适？,,"If it rain tomorrow, we read at home.","If rains tomorrow, we will at home.","If it rains tomorrow, we will read at home.","Tomorrow rain if, we read home.",C,条件句要有完整主语和合适的动词形式，所以第一句最正确。,3
英语,六年级,通用,,词义判断,Which word means “重要的”？,,interesting,difficult,hungry,important,D,important 表示“重要的”。,2
英语,六年级,通用,,词性理解,“Please speak slowly.” 中 slowly 修饰的是？,,speak,please,you,class,A,slowly 是副词，用来修饰动词 speak，表示“慢慢地说”。,3
英语,六年级,通用,,书信表达,写邮件开头向老师问好，更合适的是哪一句？,,How old are you?,"Dear Ms. Li,",I am a pencil.,Nice chair!,B,正式写给老师的邮件，开头常用 Dear + 称呼。,2
英语,三年级,通用,,常识词汇,Which animal can fly in the sky?,,fish,tiger,bird,rabbit,C,bird 表示鸟，鸟会在天空中飞。,1
英语,二年级,通用,,单词认读,“牛奶”的英文是哪一个？,,bread,water,egg,milk,D,milk 表示牛奶。,1
英语,二年级,通用,,单词认读,“窗户”的英文是哪一个？,,flower,river,schoolbag,window,D,window 表示窗户。,1
英语,二年级,通用,,课堂指令,“Close the door.” 的意思是什么？,,关门,开门,擦桌子,打开书,A,Close the door. 的意思是“把门关上”。,1
英语,二年级,通用,,颜色单词,“绿色”的英文是哪一个？,,brown,green,chair,seven,B,green 表示绿色。,1
英语,二年级,通用,,句意理解,“This is a pen.” 的意思是什么？,,那是一张桌子,我有一支钢笔,这是一支钢笔,请给我一支钢笔,C,This is a pen. 直译就是“这是一支钢笔”。,1
英语,二年级,通用,,单词分类,Which word is an animal?,,apple,desk,music,rabbit,D,rabbit 表示兔子，是动物。,1
英语,三年级,通用,,情景对话,别人问 “How are you?”，更合适的回答是哪一句？,,"I'm fine, thank you.",My name is Tom.,I am ten years old.,See you tomorrow.,A,"How are you? 常用来问候，对应回答常是 I'm fine, thank you.",1
英语,三年级,通用,,句子选择,“我有一只风筝。” 更合适的英文是哪一句？,,I am a kite.,I have a kite.,I like kite.,Have I a kite.,B,I have a kite. 表示“我有一只风筝”。,1
英语,三年级,通用,,短语理解,“on the desk” 最接近什么意思？,,在桌子下,在教室里,在桌子上,在门旁边,C,on 表示“在……上面”，desk 是桌子。,1
英语,三年级,通用,,时间词汇,Which word means “星期天”？,,summer,supper,study,Sunday,D,Sunday 表示星期天。,2
英语,四年级,通用,,句子选择,“她有长头发。” 更合适的英文是哪一句？,,She has long hair.,She have long hair.,He has long hair.,She long hair has.,A,主语是 she 时，动词要用 has。,2
英语,四年级,通用,,情景对话,别人问图书馆在哪里，更合适的回答是哪一句？,,It is a good book.,It is next to the playground.,I like the library.,She is in Grade Four.,B,问地点时，要回答地点位置。,2
英语,四年级,通用,,句子选择,“我喜欢唱歌。” 更合适的英文是哪一句？,,I am sing.,I can singer.,I like singing.,Like I singing.,C,like 后面接动词-ing 时，表示喜欢做某事。,2
英语,四年级,通用,,时间词汇,Which month comes after May?,,April,March,Monday,June,D,在 May 之后的月份是 June。,2
英语,四年级,通用,,现在进行时,“他们正在踢足球。” 更合适的英文是哪一句？,,They are playing football.,They play football yesterday.,They is playing football.,Are they football play.,A,现在正在进行的动作常用 are + 动词-ing。,2
英语,五年级,通用,,句意理解,“How much is it?” 主要是在问什么？,,时间,价格,天气,年龄,B,How much is it? 常用来询问价格。,2
英语,五年级,通用,,句意理解,“What time is it?” 主要是在问什么？,,数量,颜色,时间,地点,C,What time is it? 用来询问时间。,2
英语,五年级,通用,,比较级,下面哪一句使用了比较级？,,Tom is a tall boy.,Tom can play basketball.,Ben and Tom are friends.,Tom is taller than Ben.,D,taller than 表示“比……更高”，属于比较级。,2
英语,五年级,通用,,句子选择,“因为下雨，我们待在家里。” 更合适的英文是哪一句？,,We stay at home because it is raining.,We stay at home and rain.,Because home we are.,It raining stay we home.,A,because 可以引出原因，整句要保持完整。,3
英语,五年级,通用,,there be 句型,下面哪一句正确使用了 there is？,,There are a book on the desk.,There is a book on the desk.,There is books on the desk.,There book is on the desk.,B,单数名词 a book 前面要用 There is。,2
英语,六年级,通用,,一般将来时,“我们下周要参观博物馆。” 更合适的英文是哪一句？,,We visited the museum next week.,We will visited the museum.,We will visit the museum next week.,We next week visit museum will.,C,将来发生的事常用 will + 动词原形。,3
英语,六年级,通用,,情态动词,“你晚饭前应该洗手。” 更合适的英文是哪一句？,,You should washes your hands.,You washing hands should.,Should your hands before dinner.,You should wash your hands before dinner.,D,should 后面接动词原形，表示“应该”。,2
英语,六年级,通用,,条件句,“如果我有空，我会帮你。” 更合适的英文是哪一句？,,"If I am free, I will help you.","If I will free, I help you.",I am free if help you.,"If free am I, will you help.",A,条件句要有完整主语，后半句用 will 表示将来。,3
英语,六年级,通用,,词性判断,Which word is a noun?,,careful,teacher,quickly,beautiful,B,teacher 是名词，表示“老师”。,2
英语,六年级,通用,,词义理解,“My hobby is collecting stamps.” 中 hobby 最接近什么意思？,,假期,作业,爱好,邻居,C,hobby 表示平时喜欢做的事情，也就是“爱好”。,2
英语,六年级,通用,,书信表达,写邮件结尾表达祝福，更合适的是哪一句？,,How old are you?,"Stand up, please.",I am a student.,"Best wishes,",D,"Best wishes, 常用于邮件或信件结尾表达祝福。",2
英语,六年级,通用,,情景对话,别人问 “Why do you like science?”，更合适的回答是哪一句？,,Because it is interesting.,I like blue very much.,My science book is green.,It is on the desk.,A,Why 提问原因，回答常用 Because 开头。,3
语文,四年级,上册,观察表达,写作方法,看图写话时，第一步最应该做什么？,,先按顺序看清图里的主要内容,先把题目抄三遍,先挑最长的词语写上去,先随便写一句结尾,A,观察表达先要看清画面里的人、事、景，再按顺序组织语言。,2
语文,四年级,上册,习作起步,写作方法,刚开始写一段话时，更合适的做法是哪一项？,,想到哪个词就先写哪个词,先想清楚想写什么，再写开头,先写最后一句再说,完全不看题目要求,B,习作起步要先明确主题，再从开头慢慢写。,2
语文,四年级,上册,细节描写,写作方法,想把“他很开心”写得更具体，哪一句更合适？,,他是一个人,今天天气不错,他笑得眼睛弯弯的，还拍起了手,教室里有很多桌子,C,细节描写要把动作、神情这些看得见的细节写出来。,2
数学,四年级,上册,观察物体,立体图形,从正面看一个长方体盒子，最可能看到什么图形？,,三角形,圆形,平行四边形,长方形,D,长方体的正面通常看到的是长方形。,2
语文,四年级,下册,成语理解,成语理解,“专心致志”最适合形容哪种状态？,,做事非常专心,走路特别快,天气特别热,衣服特别整齐,A,专心致志就是全神贯注地做事。,2
